"","","","liverpool","nottingham","bristol","northeast","greatermanchester","sheffield","westmidlands","leeds","london"
"other","lgv","2014","457757.25655","665385.92975","373381.3855","1087183.0797","737452.66125","467931.1607","666452.29915","831407.658","2248943.99235"
"motorway","lgv","2015","274562.6725","127260.3525","437937.439","151464.123","924491.929","514138.0145","450171.363","758569.0975","362852.778"
"other","lgv","2015","478220.153","713316.142","390260.1535","1128557.224","761168.956","482154.999","683381.762","815938.4105","2261231.867"
"motorway","lgv","2016","288367.6295","136794.481","472020.336","154275.1705","966296.0725","540798.6","471836.9235","835217.0535","389667.211"
"other","lgv","2016","492040.221","720297.205","407161.1135","1159143.7495","760890.242","494898.1345","688051.7545","826277.364","2417848.038"
"motorway","lgv","2017","310717.1635","148469.8455","486851.235","163858.209","988367.2575","579823.4875","524847.151","860276.822","406172.9855"
"other","lgv","2017","490242.1215","739065.505","411592.1405","1180807.0105","734285.319","494202.8825","668698.7245","798121.0085","2521920.6705"
"motorway","lgv","2018","304309.844","147769.0455","477608.6685","167362.4645","1001083.456","603611.012","535561.9815","830204.3625","428101.4555"
"other","lgv","2018","485845.1125","743868.54","410145.7185","1202025.154","723262.5745","500478.1815","678684.9785","771509.698","2679655.238"
"motorway","hgv","2005","153310.7675","134584.9535","334061.213","103814.979","629968.5745","501883.176","418180.938","580938.526","219702.0045"
"other","hgv","2005","155731.66285","347818.355","108445.296","402294.03925","204233.706","175672.0545","183167.58135","270213.22665","691546.4908"
"motorway","hgv","2006","165633.131","137043.995","331906.837","104442.852","626340.7665","503829.502","398777.5745","603196.372","222540.208"
"other","hgv","2006","150169.5994","353226.06725","110368.0795","402257.2801","195197.62","173054.5884","171242.41815","264804.3172","668149.66595"
"motorway","hgv","2007","165312.4055","134389.0945","334206.556","110618.798","623462.924","492144.9395","401509.49","611039.565","220465.8765"
"other","hgv","2007","151602.166","356740.488","111122.6075","400961.19065","189601.148","173698.6455","167189.0165","255927.65955","661413.58"
"motorway","hgv","2008","167031.2635","127501.3255","324634.65","105094.888","644433.8165","514200.5025","363456.8895","589180.9195","232441.7455"
"other","hgv","2008","152464.807","345334.2015","100713.136","402235.82175","191868.1265","173323.024","155585.3015","250194.1556","663546.6765"
"motorway","hgv","2009","162635.532","112424.38","300526.5825","96007.41","621363.9185","472913.564","323293.9685","536411.373","226588.058"
